position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
31031	BX000700.25	BX000700.25	bx000700.25	ENSDARG00000116328	0
31032	BX942815.13	BX942815.13	bx942815.13	ENSDARG00000116333	0
31033	tmem17	tmem17	tmem17	ENSDARG00000116334	0
31034	CR388172.13	CR388172.13	cr388172.13	ENSDARG00000116336	0
31035	BX908777.7	BX908777.7	bx908777.7	ENSDARG00000116338	0
31036	BX510922.4	BX510922.4	bx510922.4	ENSDARG00000116340	0
31037	FP103009.1	FP103009.1	fp103009.1	ENSDARG00000116341	0
31038	BX088712.12	BX088712.12	bx088712.12	ENSDARG00000116342	0
31039	CABZ01063556.1	CABZ01063556.1	cabz01063556.1	ENSDARG00000116344	0
31040	BX511311.9	BX511311.9	bx511311.9	ENSDARG00000116345	0
31041	CU682604.1	CU682604.1	cu682604.1	ENSDARG00000116346	0
31042	BX004886.1	BX004886.1	bx004886.1	ENSDARG00000116352	0
31043	lrp4	lrp4	lrp4	ENSDARG00000116353	0
31044	CT955962.2	si:ch211-209l5.1	si:ch211-209l5.1	ENSDARG00000116355	0
31045	CU607104.1	CU607104.1	cu607104.1	ENSDARG00000116356	0
31046	FO818718.1	FO818718.1	fo818718.1	ENSDARG00000116358	0
31047	BX649399.18	BX649399.18	bx649399.18	ENSDARG00000116359	0
31048	CR356227.12	CR356227.12	cr356227.12	ENSDARG00000116360	0
31049	CR936972.1	CR936972.1	cr936972.1	ENSDARG00000116362	0
31050	CU929304.1	id:ibd5052	id:ibd5052	ENSDARG00000116363	0
31051	BX649282.5	BX649282.5	bx649282.5	ENSDARG00000116365	0
31052	si:dkey-51d8.1-2	si:dkey-165b20.1	si:dkey-165b20.1	ENSDARG00000116367	0
31053	BX537120.3	BX537120.3	bx537120.3	ENSDARG00000116369	0
31054	chrm2b	chrm2b	chrm2b	ENSDARG00000116374	0
31055	CR354425.1	CR354425.1	cr354425.1	ENSDARG00000116376	0
31056	ms4a17a.17	ms4a17a.17	ms4a17a.17	ENSDARG00000116378	0
31057	BX649385.2	BX649385.2	bx649385.2	ENSDARG00000116383	0
31058	BX000700.26	BX000700.26	bx000700.26	ENSDARG00000116384	0
