id	name	kind	depth	is_a	part_of	start_stage	end_stage	synonyms
ZFA:0005420	autopalatine-lateral ethmoid joint	structure	6	ZFA:0005156		ZFS:0000000	ZFS:0000044	
ZFA:0005421	autopalatine-maxillary joint	structure	5	ZFA:0001596		ZFS:0000040	ZFS:0000044	
ZFA:0005422	autopalatine-vomer joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005423	basioccipital-exoccipital joint	structure	6	ZFA:0005155		ZFS:0000000	ZFS:0000044	
ZFA:0005424	caudal fin actinotrichium	structure	5	ZFA:0005435	ZFA:0000862	ZFS:0000000	ZFS:0000044	caudal fin actinotrichia [EXACT]
ZFA:0005425	serous membrane	structure	3	ZFA:0001488		ZFS:0000028	ZFS:0000044	
ZFA:0005426	coracoid foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005427	dentary foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005428	optic foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	optic nerve (II) foramen [EXACT]
ZFA:0005429	olfactory nerve foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005430	orbital foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005431	scapular foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005432	superficial ophthalmic nerve foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	
ZFA:0005433	mental barbel	structure	5	ZFA:0000622		ZFS:0000000	ZFS:0000044	
ZFA:0005434	tooth cusp	structure	3	ZFA:0000382		ZFS:0000033	ZFS:0000044	
ZFA:0005435	actinotrichium	structure	4	ZFA:0005494		ZFS:0000029	ZFS:0000044	actinotrichia [EXACT]
ZFA:0005436	pectoral fin nerve	structure	4	ZFA:0007009	ZFA:0001161	ZFS:0000000	ZFS:0000044	
ZFA:0005437	pectoral fin motor nerve	structure	5	ZFA:0005436		ZFS:0000000	ZFS:0000044	
ZFA:0005438	pectoral fin sensory nerve	structure	5	ZFA:0005436		ZFS:0000000	ZFS:0000044	
ZFA:0005439	pectoral fin motor nerve 1	structure	6	ZFA:0005437		ZFS:0000034	ZFS:0000000	
ZFA:0005440	pectoral fin motor nerve 2	structure	6	ZFA:0005437		ZFS:0000034	ZFS:0000000	
ZFA:0005441	pectoral fin motor nerve 3	structure	6	ZFA:0005437		ZFS:0000034	ZFS:0000000	
ZFA:0005442	articular fossa of opercle	structure	3	ZFA:0005388		ZFS:0000000	ZFS:0000044	
ZFA:0005443	sensory canal	structure	3	ZFA:0001488	ZFA:0000034	ZFS:0000000	ZFS:0000044	
ZFA:0005444	trunk sensory canal	structure	4	ZFA:0005443		ZFS:0000000	ZFS:0000044	
ZFA:0005445	supratemporal sensory canal	structure	4	ZFA:0005443		ZFS:0000000	ZFS:0000044	
ZFA:0005446	neuromast foramen	structure	3	ZFA:0005386	ZFA:0005443	ZFS:0000000	ZFS:0000044	
ZFA:0005447	sensory canal tubule	structure	4	ZFA:0005443		ZFS:0000000	ZFS:0000044	
ZFA:0005448	preopercular sensory canal	structure	4	ZFA:0005443	ZFA:0005395	ZFS:0000041	ZFS:0000044	
ZFA:0005449	pore	structure	2	ZFA:0001643		ZFS:0000000	ZFS:0000044	
ZFA:0005450	pectoral fin motor nerve 4	structure	6	ZFA:0005437		ZFS:0000034	ZFS:0000000	
ZFA:0005451	mandibular sensory canal	structure	4	ZFA:0005443	ZFA:0005395	ZFS:0000042	ZFS:0000044	
ZFA:0005452	tract of the caudal commissure	structure	4	ZFA:0001682	ZFA:0000320	ZFS:0000028	ZFS:0000044	TPC [RELATED] | tract of the posterior commissure [EXACT]
ZFA:0005453	basicapsular fenestra	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	basicapsular fenestrae [EXACT]
ZFA:0005454	subtemporal fossa	structure	3	ZFA:0005388		ZFS:0000000	ZFS:0000044	
ZFA:0005455	prootic foramen	structure	3	ZFA:0005386		ZFS:0000000	ZFS:0000044	anterior trigemino-facialis foramen of Howes [EXACT] | trigeminal notch of Harrington [EXACT]
ZFA:0005456	sinus impar	structure	3	ZFA:0005459		ZFS:0000000	ZFS:0000044	
ZFA:0005457	dorsal hypohyal-urohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005458	dorsal hypohyal-ventral hypohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005459	perilymphatic space	structure	2	ZFA:0001643	ZFA:0000217	ZFS:0000000	ZFS:0000044	
ZFA:0005460	atrium of sinus impar	structure	3	ZFA:0005459		ZFS:0000000	ZFS:0000044	
ZFA:0005461	perilymphatic duct	structure	4	ZFA:0005171		ZFS:0000000	ZFS:0000044	
ZFA:0005462	otic duct	structure	5	ZFA:0005461		ZFS:0000000	ZFS:0000044	
ZFA:0005463	oral ectoderm	structure	5	ZFA:0000016	ZFA:0000590	ZFS:0000033	ZFS:0000000	
ZFA:0005464	dentary-anguloarticular joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005465	ceratohyal-branchiostegal ray joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005466	ceratohyal-ventral hypohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005467	ceratohyal-dorsal hypohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005468	frontal-pterotic joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005469	hyomandibula-metapterygoid joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005470	inter-coracoid joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005471	inter-basipterygium joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005472	inter-frontal joint	structure	5	ZFA:0005156	ZFA:0005606	ZFS:0000000	ZFS:0000044	interfrontal joint [EXACT] | interfrontal suture [EXACT] | metopic suture [RELATED]
ZFA:0005473	interhyal-epihyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005474	inter-hypobranchial 3 joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005475	inter-premaxillary joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005476	inter-ventral hypohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005477	lateral ethmoid-frontal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005478	opercle-interopercle joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005479	orbitosphenoid-lateral ethmoid joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005480	orbitosphenoid-prootic joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005481	prootic-exoccipital joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005482	prootic-pterosphenoid joint	structure	6	ZFA:0005156		ZFS:0000000	ZFS:0000044	
ZFA:0005483	pterosphenoid-orbitosphenoid joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005484	quadrate-anguloarticular joint	structure	6	ZFA:0005153		ZFS:0000000	ZFS:0000044	jaw joint [RELATED]
ZFA:0005485	quadrate-hyomandibula joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005486	quadrate-metapterygoid joint	structure	6	ZFA:0005155		ZFS:0000000	ZFS:0000044	
ZFA:0005487	ventral hypohyal-urohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005488	mandibular symphysis	structure	6	ZFA:0005155		ZFS:0000000	ZFS:0000044	dentary symphysis [EXACT] | inter-mandibular joint [EXACT]
ZFA:0005489	endocardial precursor	structure	3	ZFA:0001477	ZFA:0000028	ZFS:0000024	ZFS:0000027	
ZFA:0005490	myocardial precursor	structure	3	ZFA:0001477	ZFA:0000028	ZFS:0000024	ZFS:0000027	
ZFA:0005491	optic furrow	structure	3	ZFA:0001690	ZFA:0000107	ZFS:0000030	ZFS:0000044	optic fissure [RELATED]
ZFA:0005492	sphenotic-prootic fossa	structure	3	ZFA:0005388		ZFS:0000000	ZFS:0000044	
ZFA:0005494	skeletal element	structure	3	ZFA:0000496	ZFA:0000434	ZFS:0000000	ZFS:0000044	
ZFA:0005495	skin flap	structure	5	ZFA:0000368		ZFS:0000000	ZFS:0000044	
ZFA:0005496	snout	structure	3	ZFA:0001308	ZFA:0001114	ZFS:0000000	ZFS:0000044	
ZFA:0005497	epihyal-ceratohyal joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005498	epihyal-branchiostegal ray joint	structure	5	ZFA:0001596		ZFS:0000000	ZFS:0000044	
ZFA:0005499	circulus	structure	2	ZFA:0000037	ZFA:0000277	ZFS:0000000	ZFS:0000044	circuli [EXACT]
ZFA:0005500	prootic bulla	structure	3	ZFA:0001488		ZFS:0000000	ZFS:0000044	
ZFA:0005501	interopercular-mandibular ligament	structure	5	ZFA:0001675		ZFS:0000000	ZFS:0000044	interoperculomandibular ligament [EXACT]
ZFA:0005502	lateral ethmoid-autopalatine ligament	structure	5	ZFA:0001675		ZFS:0000000	ZFS:0000044	
ZFA:0005503	lateral ethmoid-ectopterygoid ligament	structure	5	ZFA:0001675		ZFS:0000000	ZFS:0000044	
ZFA:0005504	vertebra 4-vertebra 5 joint	structure	6	ZFA:0005155		ZFS:0000000	ZFS:0000044	
ZFA:0005505	vertebra 5-vertebra 6 joint	structure	6	ZFA:0005155		ZFS:0000000	ZFS:0000044	
ZFA:0005506	vertebra 6 - vertebra 7 joint	structure	6	ZFA:0005155		ZFS:0000000	ZFS:0000044	
ZFA:0005507	nasal capsule	structure	3	ZFA:0001488		ZFS:0000000	ZFS:0000044	
ZFA:0005508	inner mental barbel	structure	6	ZFA:0005433		ZFS:0000000	ZFS:0000044	
ZFA:0005509	palate	structure	4	ZFA:0001478	ZFA:0000737	ZFS:0000000	ZFS:0000044	
ZFA:0005510	prootic depression	structure	3	ZFA:0005388		ZFS:0000000	ZFS:0000044	
ZFA:0005511	sensory canal tubular ossicle	structure	7	ZFA:0001590		ZFS:0000000	ZFS:0000044	
ZFA:0005512	caudal fin principal ray 1	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 1  [EXACT] | caudal principal ray 1  [EXACT]
ZFA:0005513	caudal fin principal ray 3	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 3  [EXACT] | caudal principal ray 3 [EXACT]
ZFA:0005514	caudal fin principal ray 2	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 2  [EXACT] | caudal principal ray 2 [EXACT]
ZFA:0005515	caudal fin principal ray 4	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 4  [EXACT] | caudal principal ray 4 [EXACT]
ZFA:0005516	caudal fin principal ray 5	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 5 [EXACT] | caudal principal ray 5 [EXACT]
ZFA:0005517	caudal fin principal ray 6	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 6 [EXACT] | caudal principal ray 6 [EXACT]
ZFA:0005518	caudal fin principal ray 7	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 7 [EXACT] | caudal principal ray 7 [EXACT]
ZFA:0005519	caudal fin principal ray 8	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 8 [EXACT] | caudal principal ray 8 [EXACT]
ZFA:0005520	caudal fin principal ray 9	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 9 [EXACT] | caudal principal ray 9 [EXACT]
ZFA:0005521	caudal fin principal ray 10	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 10 [EXACT] | caudal principal ray 10 [EXACT]
ZFA:0005522	caudal fin principal ray 11	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 11 [EXACT] | caudal principal ray 11 [EXACT]
ZFA:0005523	caudal fin principal ray 12	structure	8	ZFA:0001585		ZFS:0000000	ZFS:0000044	caudal principal lepidotrichium 12 [EXACT] | caudal principal ray 12 [EXACT]
